codepage;CollationID;name;description
1254;-2130657254;SQL_Latin1_General_CP1254_CS_AS;Turkish, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 129 on Code Page 1254 for non-Unicode Data
1254;-2113875942;SQL_Latin1_General_CP1254_CI_AS;Turkish, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 130 on Code Page 1254 for non-Unicode Data
1255;-1996439544;SQL_Latin1_General_CP1255_CS_AS;Latin1-General, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 137 on Code Page 1255 for non-Unicode Data
1255;-1979658232;SQL_Latin1_General_CP1255_CI_AS;Latin1-General, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 138 on Code Page 1255 for non-Unicode Data
1256;-1862221816;SQL_Latin1_General_CP1256_CS_AS;Latin1-General, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 145 on Code Page 1256 for non-Unicode Data
1256;-1845440504;SQL_Latin1_General_CP1256_CI_AS;Latin1-General, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 146 on Code Page 1256 for non-Unicode Data
1257;-1728004088;SQL_Latin1_General_CP1257_CS_AS;Latin1-General, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 153 on Code Page 1257 for non-Unicode Data
1257;-1711222776;SQL_Latin1_General_CP1257_CI_AS;Latin1-General, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 154 on Code Page 1257 for non-Unicode Data
1257;-1694449635;SQL_Estonian_CP1257_CS_AS;Estonian, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 155 on Code Page 1257 for non-Unicode Data
1257;-1677668323;SQL_Estonian_CP1257_CI_AS;Estonian, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 156 on Code Page 1257 for non-Unicode Data
1257;-1660895202;SQL_Latvian_CP1257_CS_AS;Latvian, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 157 on Code Page 1257 for non-Unicode Data
